learner_id,learner_label,occupational_domain,study_week,week_start,learner_messages,instructor_messages,total_messages,avg_learner_word_count,english_messages,english_proportion,disruption_count,disruption_flag,apology_uncertainty_count,apology_uncertainty_rate,correction_count,gt_correction_count,correction_density
L001,Adult learner 01,Automotive / manufacturing,1,2025-08-24,7,11,18,5.86,1,0.1429,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,2,2025-08-31,1,3,4,14,1,1.0,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,3,2025-09-07,3,3,6,6,1,0.3333,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,4,2025-09-14,1,3,4,14,1,1.0,0,0,1,1.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,5,2025-09-21,0,2,2,,0,,0,0,0,,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,6,2025-09-28,1,4,5,17,1,1.0,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,8,2025-10-12,1,5,6,8,1,1.0,0,0,0,0.0,1,0,0.2
L001,Adult learner 01,Automotive / manufacturing,9,2025-10-19,2,6,8,9,2,1.0,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,10,2025-10-26,5,8,13,6.4,2,0.4,0,0,0,0.0,1,0,0.125
L001,Adult learner 01,Automotive / manufacturing,11,2025-11-02,7,15,22,9,3,0.4286,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,12,2025-11-12,2,4,6,7,2,1.0,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,13,2025-11-19,1,5,6,28,1,1.0,1,1,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,15,2025-12-03,5,4,9,5.8,0,0.0,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,16,2025-12-10,2,2,4,10.5,0,0.0,0,0,1,0.5,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,17,2025-12-17,1,3,4,9,0,0.0,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,20,2026-01-07,1,2,3,4,1,1.0,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,21,2026-01-14,0,2,2,,0,,0,0,0,,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,22,2026-01-20,2,3,5,4,2,1.0,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,23,2026-01-28,2,3,5,12,1,0.5,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,25,2026-02-11,2,4,6,15.5,2,1.0,0,0,0,0.0,1,0,0.25
L001,Adult learner 01,Automotive / manufacturing,27,2026-02-25,1,2,3,1,1,1.0,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,29,2026-03-11,4,9,13,8.33,1,0.25,0,0,0,0.0,1,0,0.1111
L001,Adult learner 01,Automotive / manufacturing,30,2026-03-18,3,5,8,6.33,2,0.6667,1,1,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,31,2026-03-25,4,5,9,5.25,4,1.0,1,1,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,32,2026-04-01,1,5,6,18,1,1.0,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,33,2026-04-08,3,8,11,7,3,1.0,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,34,2026-04-15,3,4,7,13.67,1,0.3333,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,35,2026-04-22,1,5,6,21,1,1.0,0,0,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,36,2026-04-28,2,4,6,8,1,0.5,0,0,1,0.5,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,38,2026-05-13,3,4,7,4.33,1,0.3333,1,1,0,0.0,0,0,0.0
L001,Adult learner 01,Automotive / manufacturing,39,2026-05-19,3,3,6,9.67,0,0.0,0,0,1,0.3333,0,0,0.0
L002,Adult learner 02,Technology / engineering,1,2024-02-23,1,4,5,5,1,1.0,0,0,0,0.0,0,1,0.0
L002,Adult learner 02,Technology / engineering,2,2024-03-07,4,3,7,5.5,0,0.0,0,0,1,0.25,0,0,0.0
L002,Adult learner 02,Technology / engineering,3,2024-03-08,2,1,3,5.5,0,0.0,0,0,1,0.5,0,0,0.0
L002,Adult learner 02,Technology / engineering,4,2024-03-15,1,3,4,1,1,1.0,0,0,0,0.0,0,1,0.0
L002,Adult learner 02,Technology / engineering,5,2024-03-22,11,7,18,2.27,1,0.0909,0,0,1,0.0909,0,1,0.0
L002,Adult learner 02,Technology / engineering,6,2024-03-29,3,7,10,4,3,1.0,0,0,0,0.0,0,1,0.0
L002,Adult learner 02,Technology / engineering,7,2024-04-05,2,4,6,2,2,1.0,0,0,0,0.0,0,1,0.0
L002,Adult learner 02,Technology / engineering,8,2024-04-12,4,1,5,3,0,0.0,1,1,3,0.75,0,0,0.0
L002,Adult learner 02,Technology / engineering,9,2024-04-19,1,3,4,4,1,1.0,0,0,0,0.0,0,1,0.0
L002,Adult learner 02,Technology / engineering,10,2024-04-26,1,4,5,4,1,1.0,0,0,0,0.0,0,1,0.0
L002,Adult learner 02,Technology / engineering,11,2024-05-03,2,3,5,2.5,2,1.0,0,0,0,0.0,0,1,0.0
L002,Adult learner 02,Technology / engineering,12,2024-05-10,3,4,7,3.5,2,0.6667,0,0,0,0.0,0,1,0.0
L002,Adult learner 02,Technology / engineering,13,2024-05-17,5,7,12,5,1,0.2,1,1,0,0.0,0,1,0.0
L002,Adult learner 02,Technology / engineering,14,2024-05-24,10,8,18,4.11,2,0.2,1,1,2,0.2,1,1,0.125
L002,Adult learner 02,Technology / engineering,15,2024-05-31,9,7,16,5.33,9,1.0,1,1,1,0.1111,0,0,0.0
L002,Adult learner 02,Technology / engineering,16,2024-06-12,6,7,13,4.17,1,0.1667,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,18,2024-06-21,1,3,4,4,1,1.0,0,0,0,0.0,0,1,0.0
L002,Adult learner 02,Technology / engineering,20,2024-07-05,4,6,10,2,4,1.0,0,0,0,0.0,1,0,0.1667
L002,Adult learner 02,Technology / engineering,21,2024-07-12,3,3,6,2.33,3,1.0,0,0,0,0.0,1,0,0.3333
L002,Adult learner 02,Technology / engineering,22,2024-07-19,3,2,5,5.33,1,0.3333,0,0,2,0.6667,0,0,0.0
L002,Adult learner 02,Technology / engineering,23,2024-07-26,2,4,6,5,2,1.0,0,0,0,0.0,1,0,0.25
L002,Adult learner 02,Technology / engineering,25,2024-08-09,7,3,10,3.14,0,0.0,0,0,1,0.1429,0,0,0.0
L002,Adult learner 02,Technology / engineering,27,2024-08-23,2,3,5,5,2,1.0,0,0,0,0.0,1,0,0.3333
L002,Adult learner 02,Technology / engineering,28,2024-08-30,3,6,9,6.67,3,1.0,0,0,0,0.0,1,0,0.1667
L002,Adult learner 02,Technology / engineering,29,2024-09-06,3,5,8,3.67,0,0.0,0,0,1,0.3333,0,0,0.0
L002,Adult learner 02,Technology / engineering,31,2024-09-20,4,4,8,2.25,2,0.5,1,1,1,0.25,1,0,0.25
L002,Adult learner 02,Technology / engineering,32,2024-09-27,2,3,5,3,1,0.5,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,34,2024-10-11,2,3,5,3,2,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,35,2024-10-18,3,4,7,3.67,0,0.0,1,1,1,0.3333,0,0,0.0
L002,Adult learner 02,Technology / engineering,36,2024-10-26,1,3,4,4,1,1.0,0,0,0,0.0,1,0,0.3333
L002,Adult learner 02,Technology / engineering,37,2024-11-01,1,3,4,4,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,38,2024-11-08,3,4,7,4.33,2,0.6667,1,1,1,0.3333,0,0,0.0
L002,Adult learner 02,Technology / engineering,39,2024-11-15,3,3,6,5,1,0.3333,1,1,1,0.3333,1,0,0.3333
L002,Adult learner 02,Technology / engineering,40,2024-11-22,2,2,4,6.5,0,0.0,0,0,1,0.5,0,0,0.0
L002,Adult learner 02,Technology / engineering,41,2024-11-29,2,4,6,6,2,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,42,2024-12-06,2,3,5,4,2,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,43,2024-12-13,1,3,4,7,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,44,2024-12-20,2,4,6,3,2,1.0,0,0,0,0.0,1,0,0.25
L002,Adult learner 02,Technology / engineering,45,2024-12-27,4,6,10,3.75,4,1.0,0,0,0,0.0,1,0,0.1667
L002,Adult learner 02,Technology / engineering,47,2025-01-10,1,4,5,7,1,1.0,0,0,0,0.0,1,0,0.25
L002,Adult learner 02,Technology / engineering,48,2025-01-17,2,4,6,9.5,1,0.5,0,0,1,0.5,1,0,0.25
L002,Adult learner 02,Technology / engineering,49,2025-01-24,3,3,6,7,0,0.0,0,0,1,0.3333,0,0,0.0
